mode,stl_id,texture_set
*,1,Fabric047_4K-JPG
*,2,Metal002_4K-JPG
*,3,wallpaper_15-4K
*,4,concrete_brick_wall_001
*,5,DiamondPlate005C_4K-JPG
*,6,Concrete018_4K-JPG
*,7,brick_wall_001
*,8,fabric_79-4K
*,9,fabric_leather_01
*,10,Fence008B_4K-JPG
*,11,Bricks003_4K-JPG
*,12,PaintedMetal007_4K-JPG
*,13,brown_fabric_53-4K 2
*,14,Fabric047_4K-JPG 2
*,15,Paper003_4K-JPG
*,16,Fabric071_4K-JPG
*,17,NO - Fabric048_4K-JPG
*,18,Ground054_4K-JPG
*,19,Concrete018_4K-JPG (1)
*,20,Metal007_4K-JPG
*,21,denim_fabric
*,22,corrugatedsteel
*,23,brown_fabric_53-4K
*,24,PaintedMetal005_4K-JPG
*,25,NO - Paper003_4K-JPG
*,26,Fabric031_4K-JPG
*,27,camouflage_7-4K
*,28,brick_floor
*,29,Paper005_4K-JPG
*,30,Fabric026_4K-JPG
