mode,stl_id,example_image,reference,shape_match,texture_match
stimuli_A_auto_contrast,1,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/texture_match.png
stimuli_A_auto_contrast,2,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/texture_match.png
stimuli_A_auto_contrast,3,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/texture_match.png
stimuli_A_auto_contrast,4,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/texture_match.png
stimuli_A_auto_contrast,5,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/texture_match.png
stimuli_A_auto_contrast,6,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/texture_match.png
stimuli_A_auto_contrast,7,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/texture_match.png
stimuli_A_auto_contrast,8,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/texture_match.png
stimuli_A_auto_contrast,9,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/texture_match.png
stimuli_A_auto_contrast,10,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/texture_match.png
stimuli_A_auto_contrast,11,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/texture_match.png
stimuli_A_auto_contrast,12,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/texture_match.png
stimuli_A_auto_contrast,13,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/texture_match.png
stimuli_A_auto_contrast,14,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/texture_match.png
stimuli_A_auto_contrast,15,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/texture_match.png
stimuli_A_auto_contrast,16,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/texture_match.png
stimuli_A_auto_contrast,17,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/texture_match.png
stimuli_A_auto_contrast,18,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/texture_match.png
stimuli_A_auto_contrast,19,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/texture_match.png
stimuli_A_auto_contrast,20,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/texture_match.png
stimuli_A_auto_contrast,21,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/texture_match.png
stimuli_A_auto_contrast,22,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/texture_match.png
stimuli_A_auto_contrast,23,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/texture_match.png
stimuli_A_auto_contrast,24,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/texture_match.png
stimuli_A_auto_contrast,25,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/texture_match.png
stimuli_A_auto_contrast,26,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/texture_match.png
stimuli_A_auto_contrast,27,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/texture_match.png
stimuli_A_auto_contrast,28,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/texture_match.png
stimuli_A_auto_contrast,29,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/texture_match.png
stimuli_A_auto_contrast,30,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/example_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/reference.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/shape_match.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/texture_match.png
