stimulus_mode,shape_id,pair_id,texture_version,variant_index,relative_path,absolute_path
A_auto_contrast,1,1,version_1,1,stimuli_A_auto_contrast/1/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/1/version_1.png"
A_auto_contrast,1,1,version_2,2,stimuli_A_auto_contrast/1/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/1/version_2.png"
A_auto_contrast,10,10,version_1,1,stimuli_A_auto_contrast/10/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/10/version_1.png"
A_auto_contrast,10,10,version_2,2,stimuli_A_auto_contrast/10/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/10/version_2.png"
A_auto_contrast,11,11,version_1,1,stimuli_A_auto_contrast/11/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/11/version_1.png"
A_auto_contrast,11,11,version_2,2,stimuli_A_auto_contrast/11/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/11/version_2.png"
A_auto_contrast,12,12,version_1,1,stimuli_A_auto_contrast/12/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/12/version_1.png"
A_auto_contrast,12,12,version_2,2,stimuli_A_auto_contrast/12/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/12/version_2.png"
A_auto_contrast,13,13,version_1,1,stimuli_A_auto_contrast/13/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/13/version_1.png"
A_auto_contrast,13,13,version_2,2,stimuli_A_auto_contrast/13/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/13/version_2.png"
A_auto_contrast,14,14,version_1,1,stimuli_A_auto_contrast/14/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_A_auto_contrast/14/version_1.png"
