mode,stl_id,reference_image,test_object_1,test_object_2
stimuli_A_auto_contrast,1,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/1/test_object_2.png
stimuli_A_auto_contrast,2,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/2/test_object_2.png
stimuli_A_auto_contrast,3,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/3/test_object_2.png
stimuli_A_auto_contrast,4,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/4/test_object_2.png
stimuli_A_auto_contrast,5,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/5/test_object_2.png
stimuli_A_auto_contrast,6,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/6/test_object_2.png
stimuli_A_auto_contrast,7,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/7/test_object_2.png
stimuli_A_auto_contrast,8,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/8/test_object_2.png
stimuli_A_auto_contrast,9,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/9/test_object_2.png
stimuli_A_auto_contrast,10,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/10/test_object_2.png
stimuli_A_auto_contrast,11,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/11/test_object_2.png
stimuli_A_auto_contrast,12,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/12/test_object_2.png
stimuli_A_auto_contrast,13,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/13/test_object_2.png
stimuli_A_auto_contrast,14,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/14/test_object_2.png
stimuli_A_auto_contrast,15,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/15/test_object_2.png
stimuli_A_auto_contrast,16,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/16/test_object_2.png
stimuli_A_auto_contrast,17,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/17/test_object_2.png
