mode,stl_id,forced_texture_set,consistent_in_logs,observed_texture_sets
stimuli_A_auto_contrast,1,Fabric047_4K-JPG,1,Fabric047_4K-JPG
stimuli_A_auto_contrast,2,Metal002_4K-JPG,1,Metal002_4K-JPG
stimuli_A_auto_contrast,3,wallpaper_15-4K,1,wallpaper_15-4K
stimuli_A_auto_contrast,4,concrete_brick_wall_001,1,concrete_brick_wall_001
stimuli_A_auto_contrast,5,DiamondPlate005C_4K-JPG,1,DiamondPlate005C_4K-JPG
stimuli_A_auto_contrast,6,Concrete018_4K-JPG,1,Concrete018_4K-JPG
stimuli_A_auto_contrast,7,brick_wall_001,1,brick_wall_001
stimuli_A_auto_contrast,8,fabric_79-4K,1,fabric_79-4K
stimuli_A_auto_contrast,9,fabric_leather_01,1,fabric_leather_01
stimuli_A_auto_contrast,10,Fence008B_4K-JPG,1,Fence008B_4K-JPG
stimuli_A_auto_contrast,11,Bricks003_4K-JPG,1,Bricks003_4K-JPG
stimuli_A_auto_contrast,12,PaintedMetal007_4K-JPG,1,PaintedMetal007_4K-JPG
stimuli_A_auto_contrast,13,brown_fabric_53-4K 2,1,brown_fabric_53-4K 2
stimuli_A_auto_contrast,14,Fabric047_4K-JPG 2,1,Fabric047_4K-JPG 2
stimuli_A_auto_contrast,15,Paper003_4K-JPG,1,Paper003_4K-JPG
stimuli_A_auto_contrast,16,Fabric071_4K-JPG,1,Fabric071_4K-JPG
stimuli_A_auto_contrast,17,NO - Fabric048_4K-JPG,1,NO - Fabric048_4K-JPG
stimuli_A_auto_contrast,18,Ground054_4K-JPG,1,Ground054_4K-JPG
stimuli_A_auto_contrast,19,Concrete018_4K-JPG (1),1,Concrete018_4K-JPG (1)
stimuli_A_auto_contrast,20,Metal007_4K-JPG,1,Metal007_4K-JPG
stimuli_A_auto_contrast,21,denim_fabric,1,denim_fabric
stimuli_A_auto_contrast,22,corrugatedsteel,1,corrugatedsteel
stimuli_A_auto_contrast,23,brown_fabric_53-4K,1,brown_fabric_53-4K
stimuli_A_auto_contrast,24,PaintedMetal005_4K-JPG,1,PaintedMetal005_4K-JPG
stimuli_A_auto_contrast,25,NO - Paper003_4K-JPG,1,NO - Paper003_4K-JPG
stimuli_A_auto_contrast,26,Fabric031_4K-JPG,1,Fabric031_4K-JPG
stimuli_A_auto_contrast,27,camouflage_7-4K,1,camouflage_7-4K
stimuli_A_auto_contrast,28,brick_floor,1,brick_floor
stimuli_A_auto_contrast,29,Paper005_4K-JPG,1,Paper005_4K-JPG
stimuli_A_auto_contrast,30,Fabric026_4K-JPG,1,Fabric026_4K-JPG
stimuli_B_controlled_simple,1,Fabric047_4K-JPG,1,Fabric047_4K-JPG
stimuli_B_controlled_simple,2,Metal002_4K-JPG,1,Metal002_4K-JPG
stimuli_B_controlled_simple,3,wallpaper_15-4K,1,wallpaper_15-4K
stimuli_B_controlled_simple,4,concrete_brick_wall_001,1,concrete_brick_wall_001
stimuli_B_controlled_simple,5,DiamondPlate005C_4K-JPG,1,DiamondPlate005C_4K-JPG
stimuli_B_controlled_simple,6,Concrete018_4K-JPG,1,Concrete018_4K-JPG
stimuli_B_controlled_simple,7,brick_wall_001,1,brick_wall_001
stimuli_B_controlled_simple,8,fabric_79-4K,1,fabric_79-4K
stimuli_B_controlled_simple,9,fabric_leather_01,1,fabric_leather_01
stimuli_B_controlled_simple,10,Fence008B_4K-JPG,1,Fence008B_4K-JPG
stimuli_B_controlled_simple,11,Bricks003_4K-JPG,1,Bricks003_4K-JPG
stimuli_B_controlled_simple,12,PaintedMetal007_4K-JPG,1,PaintedMetal007_4K-JPG
stimuli_B_controlled_simple,13,brown_fabric_53-4K 2,1,brown_fabric_53-4K 2
stimuli_B_controlled_simple,14,Fabric047_4K-JPG 2,1,Fabric047_4K-JPG 2
stimuli_B_controlled_simple,15,Paper003_4K-JPG,1,Paper003_4K-JPG
stimuli_B_controlled_simple,16,Fabric071_4K-JPG,1,Fabric071_4K-JPG
stimuli_B_controlled_simple,17,NO - Fabric048_4K-JPG,1,NO - Fabric048_4K-JPG
stimuli_B_controlled_simple,18,Ground054_4K-JPG,1,Ground054_4K-JPG
stimuli_B_controlled_simple,19,Concrete018_4K-JPG (1),1,Concrete018_4K-JPG (1)
stimuli_B_controlled_simple,20,Metal007_4K-JPG,1,Metal007_4K-JPG
stimuli_B_controlled_simple,21,denim_fabric,1,denim_fabric
stimuli_B_controlled_simple,22,corrugatedsteel,1,corrugatedsteel
stimuli_B_controlled_simple,23,brown_fabric_53-4K,1,brown_fabric_53-4K
stimuli_B_controlled_simple,24,PaintedMetal005_4K-JPG,1,PaintedMetal005_4K-JPG
stimuli_B_controlled_simple,25,NO - Paper003_4K-JPG,1,NO - Paper003_4K-JPG
stimuli_B_controlled_simple,26,Fabric031_4K-JPG,1,Fabric031_4K-JPG
stimuli_B_controlled_simple,27,camouflage_7-4K,1,camouflage_7-4K
stimuli_B_controlled_simple,28,brick_floor,1,brick_floor
stimuli_B_controlled_simple,29,Paper005_4K-JPG,1,Paper005_4K-JPG
stimuli_B_controlled_simple,30,Fabric026_4K-JPG,1,Fabric026_4K-JPG
